model,policy,concurrency,repetitions,p95_latency_ms,p99_latency_ms,throughput_rps,ci_target_met,selected_backend
random_forest,best_static,96,20,10.44914174,33.8788828695,9058.747138798619,True,wasmtime
random_forest,best_static,192,20,22.0020072375,56.25125249150001,8671.206377011964,True,wasmtime
svm,comet,24,33,3.7918876545454547,3.996629405454546,9084.329215602274,True,wasmtime
svm,comet,48,20,5.323490375,7.775049600500008,9247.884683483799,True,wasmtime
svm,comet,96,20,10.4888678725,34.540247361500015,9022.319016736634,True,wasmtime
svm,comet,192,20,21.7230163475,60.13317388900001,8660.41720608072,True,wasmtime
svm,wasmtime_only,24,20,3.8238595925000003,3.9660032415,9177.941845358708,True,wasmtime
svm,wasmtime_only,48,60,5.461139400833334,7.83224196133334,9161.750264550838,False,wasmtime
svm,wasmtime_only,96,20,10.4589942525,33.63819451300001,9066.054969087405,True,wasmtime
svm,wasmtime_only,192,20,21.734604185,59.752535851500014,8660.245817177629,True,wasmtime
svm,docker_only,24,20,4.5351574475000005,5.064175505000002,5633.4162742315675,True,docker
svm,docker_only,48,20,9.0591342075,22.649915908500247,5415.421329356135,True,docker
svm,docker_only,96,20,18.376127995,40.630698569500034,5322.889144061225,True,docker
svm,docker_only,192,20,38.8561789225,81.06755419600005,5081.9351515246835,True,docker
svm,random,24,60,4.320991281666667,4.816271253833337,5922.034059809934,False,docker
svm,random,48,60,8.746213896666667,16.491101531166787,5699.187252939287,False,docker
svm,random,96,29,17.943373339655174,39.5047602172414,5494.128682098594,True,docker
svm,random,192,20,38.390335925,79.97903068800004,5168.261332316634,True,docker
svm,best_static,24,60,3.8605709000000004,4.217740947166667,8437.761686541733,False,wasmtime
svm,best_static,48,20,5.3062063975000004,7.7552084510000086,9252.287086613707,True,wasmtime
svm,best_static,96,60,10.842607113333333,34.71489859183335,8879.331014813502,False,wasmtime
svm,best_static,192,20,21.9280325,60.166932670000016,8611.763131962602,True,wasmtime
mlp,comet,24,28,3.824532019642857,3.9837275300000003,9123.585524115222,True,wasmtime
mlp,comet,48,60,5.501621630833334,7.886866920500005,9123.193848638932,False,wasmtime
mlp,comet,96,20,10.51734536,35.003170615000016,9018.885021701655,True,wasmtime
mlp,comet,192,60,22.627155935833333,58.05212981450001,8470.59735988522,False,wasmtime
mlp,wasmtime_only,24,20,3.824986935,3.9708054985000003,9192.377923172651,True,wasmtime
mlp,wasmtime_only,48,20,5.370145435,7.760214944500004,9225.936898062886,True,wasmtime
mlp,wasmtime_only,96,20,10.471835930000001,34.43042887700002,9038.666622278239,True,wasmtime
mlp,wasmtime_only,192,20,21.9079757125,58.84869573050001,8625.272878983495,True,wasmtime
mlp,docker_only,24,20,4.4971974775,4.814252670500002,5668.736979417937,True,docker
mlp,docker_only,48,20,9.070480375,23.13546773000014,5405.677002794182,True,docker
mlp,docker_only,96,20,18.422811267500002,39.61904434000002,5313.149765110787,True,docker
mlp,docker_only,192,20,38.8985098125,81.46163914600007,5063.501602496273,True,docker
mlp,random,24,44,4.331307763636364,4.990962991590913,5925.884424525701,True,docker
mlp,random,48,49,8.73890133367347,16.51559344285727,5668.493174254987,True,docker
mlp,random,96,20,18.0642742375,39.24532257600002,5418.629511860316,True,docker
mlp,random,192,20,38.716807717500004,81.86425043750003,5116.227026417551,True,docker
mlp,best_static,24,60,3.863621284166667,4.211705552833334,8515.090958320507,False,wasmtime
mlp,best_static,48,20,5.26795653,7.761697541000004,9256.790066364827,True,wasmtime
mlp,best_static,96,20,10.46923306,34.22951237800001,9053.460961435387,True,wasmtime
mlp,best_static,192,20,21.8747677675,57.843407401000015,8654.647911020156,True,wasmtime
