model,concurrency,baseline,comet_p95_ms,baseline_p95_ms,latency_improvement_pct,latency_ratio,comet_throughput_rps,baseline_throughput_rps,throughput_improvement_pct,throughput_ratio,comet_ci_target_met,baseline_ci_target_met,comet_backend,baseline_backend
decision_tree,192,wasmtime_only,21.9376247725,21.8951719825,-0.19389110089627604,1.0019389110089627,8633.134828445844,8639.457199528055,-0.07318018871089052,0.9992681981128911,True,True,wasmtime,wasmtime
decision_tree,192,docker_only,21.9376247725,38.8606165125,43.54792398766116,0.5645207601233885,8633.134828445844,5066.806783984557,70.38610700005245,1.7038610700005243,True,True,wasmtime,docker
decision_tree,192,random,21.9376247725,37.7778846575,41.929981068580695,0.5807001893141931,8633.134828445844,5281.038259396515,63.4741958758766,1.6347419587587662,True,True,wasmtime,docker
decision_tree,192,best_static,21.9376247725,22.1978360377193,1.1722370810250944,0.988277629189749,8633.134828445844,8588.660178390437,0.5178298958352935,1.0051782989583529,True,True,wasmtime,wasmtime
kmeans,24,wasmtime_only,3.5223272383333333,3.5214927340909092,-0.02369745745448685,1.000236974574545,9676.50818275362,9807.121125063179,-1.3318173666251887,0.9866818263337481,True,True,wasmtime,wasmtime
kmeans,24,docker_only,3.5223272383333333,4.20551887,16.245121060808994,0.83754878939191,9676.50818275362,6102.585719555694,58.564068207109585,1.585640682071096,True,True,wasmtime,docker
kmeans,24,random,3.5223272383333333,4.1209816425,14.526985463674436,0.8547301453632556,9676.50818275362,6076.6190759543115,59.241645095779816,1.5924164509577983,True,True,wasmtime,docker
kmeans,24,best_static,3.5223272383333333,3.563100299166667,1.1443141480712626,0.9885568585192874,9676.50818275362,9121.228876669822,6.087768584604699,1.060877685846047,True,False,wasmtime,wasmtime
kmeans,48,wasmtime_only,5.854307917500009,6.049438264814824,3.225594489487496,0.9677440551051251,9893.569291114694,9760.738162144107,1.360871757484052,1.0136087175748405,True,True,wasmtime,wasmtime
kmeans,48,docker_only,5.854307917500009,8.4594901125,30.795971865378675,0.6920402813462133,9893.569291114694,5809.519318696045,70.29927517885112,1.702992751788511,True,True,wasmtime,docker
kmeans,48,random,5.854307917500009,8.135938879166668,28.043855731378812,0.7195614426862118,9893.569291114694,6204.750252749656,59.4515312962085,1.594515312962085,True,False,wasmtime,docker
kmeans,48,best_static,5.854307917500009,5.945428025000008,1.5326080328758012,0.984673919671242,9893.569291114694,9785.792481049642,1.101360061270087,1.0110136006127008,True,True,wasmtime,wasmtime
